"","Freq","Genes"
"MYO15A",2,"MYO15A"
"MYO19",2,"MYO19"
"MYO3A",2,"MYO3A"
"MYO3B",2,"MYO3B"
"MYO5C",2,"MYO5C"
"MYOZ2",2,"MYOZ2"
"N4BP2L2",2,"N4BP2L2"
"NBPF10",2,"NBPF10"
"NCAPD3",2,"NCAPD3"
"NCKAP1",2,"NCKAP1"
"NCKAP1L",2,"NCKAP1L"
"NCOA7",2,"NCOA7"
"NDUFA9",2,"NDUFA9"
"NDUFAF6",2,"NDUFAF6"
"NEB",2,"NEB"
"NEK8",2,"NEK8"
"NFAT5",2,"NFAT5"
"NFATC4",2,"NFATC4"
"NFE2L3",2,"NFE2L3"
"NFIA",2,"NFIA"
"NHSL2",2,"NHSL2"
"NID2",2,"NID2"
"NIM1K",2,"NIM1K"
"NKX2-1",2,"NKX2-1"
"NLRC4",2,"NLRC4"
"NME8",2,"NME8"
"NOL8",2,"NOL8"
"NOTCH4",2,"NOTCH4"
"NPC1L1",2,"NPC1L1"
"NPHS1",2,"NPHS1"
"NPR1",2,"NPR1"
"NUP133",2,"NUP133"
"NUP210L",2,"NUP210L"
"NUP214",2,"NUP214"
"OR10AG1",2,"OR10AG1"
"OR13F1",2,"OR13F1"
"OR1S2",2,"OR1S2"
"OR2J2",2,"OR2J2"
"OR2M3",2,"OR2M3"
"OR4D5",2,"OR4D5"
"OR4K5",2,"OR4K5"
"OR4M1",2,"OR4M1"
"OR4N5",2,"OR4N5"
"OR4X1",2,"OR4X1"
"OR52E2",2,"OR52E2"
"OR5D13",2,"OR5D13"
"OR5L1",2,"OR5L1"
"OR8H2",2,"OR8H2"
"OSBP",2,"OSBP"
"PAK7",2,"PAK7"
"PALMD",2,"PALMD"
"PAPSS1",2,"PAPSS1"
"PARP9",2,"PARP9"
"PCDHA8",2,"PCDHA8"
"PCDHB10",2,"PCDHB10"
"PCGF2",2,"PCGF2"
"PCM1",2,"PCM1"
"PCNXL2",2,"PCNXL2"
"PCNXL4",2,"PCNXL4"
"PDE1A",2,"PDE1A"
"PDE4DIP",2,"PDE4DIP"
"PDS5A",2,"PDS5A"
"PDSS1",2,"PDSS1"
"PEAK1",2,"PEAK1"
"PEG3",2,"PEG3"
"PELO",2,"PELO"
"PHACTR2",2,"PHACTR2"
"PHKB",2,"PHKB"
"PIBF1",2,"PIBF1"
"PIEZO2",2,"PIEZO2"
"PIH1D2",2,"PIH1D2"
"PIK3C2A",2,"PIK3C2A"
"PIK3C2G",2,"PIK3C2G"
"PIK3CA",2,"PIK3CA"
"PIK3R1",2,"PIK3R1"
"PIKFYVE",2,"PIKFYVE"
"PITX2",2,"PITX2"
"PKD1L1",2,"PKD1L1"
"PKDREJ",2,"PKDREJ"
"PKHD1L1",2,"PKHD1L1"
"PKP4",2,"PKP4"
"PLA2G4E",2,"PLA2G4E"
"PLA2R1",2,"PLA2R1"
"PLCB3",2,"PLCB3"
"PLCH1",2,"PLCH1"
"PLCL1",2,"PLCL1"
"PLEKHA5",2,"PLEKHA5"
"PLEKHG1",2,"PLEKHG1"
"PLEKHG4B",2,"PLEKHG4B"
"PLK2",2,"PLK2"
"PLXNC1",2,"PLXNC1"
"POLR2A",2,"POLR2A"
"POM121L12",2,"POM121L12"
"POTEC",2,"POTEC"
"PPAN-P2RY11",2,"PPAN-P2RY11"
"PPARGC1A",2,"PPARGC1A"
"PPEF1",2,"PPEF1"
"PPL",2,"PPL"
"PPM1B",2,"PPM1B"
"PPP1R13L",2,"PPP1R13L"
"PPP1R9A",2,"PPP1R9A"
"PPP2R1A",2,"PPP2R1A"
"PPP4R2",2,"PPP4R2"
"PPP6R3",2,"PPP6R3"
"PRC1",2,"PRC1"
"PRDM8",2,"PRDM8"
"PRDM9",2,"PRDM9"
"PROS1",2,"PROS1"
"PRPF39",2,"PRPF39"
"PRPF6",2,"PRPF6"
"PRSS57",2,"PRSS57"
"PSG8",2,"PSG8"
"PSMD8",2,"PSMD8"
"PTCD2",2,"PTCD2"
"PTCHD2",2,"PTCHD2"
"PTEN",2,"PTEN"
"PTGER3",2,"PTGER3"
"PTPN13",2,"PTPN13"
"PTPN22",2,"PTPN22"
"PTPRO",2,"PTPRO"
"PTPRR",2,"PTPRR"
"PTPRS",2,"PTPRS"
"PUM2",2,"PUM2"
"PURA",2,"PURA"
"R3HCC1L",2,"R3HCC1L"
"RAB27A",2,"RAB27A"
"RAB3GAP1",2,"RAB3GAP1"
"RABGAP1",2,"RABGAP1"
"RACGAP1",2,"RACGAP1"
"RAI1",2,"RAI1"
"RAI14",2,"RAI14"
"RALGAPB",2,"RALGAPB"
"RAPGEF1",2,"RAPGEF1"
"RARS",2,"RARS"
"RASA1",2,"RASA1"
"RASGRF2",2,"RASGRF2"
"RB1",2,"RB1"
"RBFA",2,"RBFA"
"RBM12B",2,"RBM12B"
"RBM17",2,"RBM17"
"RBM5",2,"RBM5"
"RBM6",2,"RBM6"
"RECK",2,"RECK"
"REST",2,"REST"
"RET",2,"RET"
"RFPL1",2,"RFPL1"
"RGS22",2,"RGS22"
"RHOQ",2,"RHOQ"
"RIC1",2,"RIC1"
"RICTOR",2,"RICTOR"
"RIMS1",2,"RIMS1"
"RIOK1",2,"RIOK1"
"RIOK2",2,"RIOK2"
"RLF",2,"RLF"
"RNF113A",2,"RNF113A"
"RNF128",2,"RNF128"
"RNF19B",2,"RNF19B"
"RNF216",2,"RNF216"
"RSF1",2,"RSF1"
"RSPH4A",2,"RSPH4A"
"RSPH6A",2,"RSPH6A"
"RTF1",2,"RTF1"
"RTN4",2,"RTN4"
"RYK",2,"RYK"
"SAMD15",2,"SAMD15"
"SAMD9L",2,"SAMD9L"
"SBF1",2,"SBF1"
"SBNO1",2,"SBNO1"
"SCAF1",2,"SCAF1"
"SCN10A",2,"SCN10A"
"SCN1A",2,"SCN1A"
"SCN2A",2,"SCN2A"
"SEC62",2,"SEC62"
"SENP2",2,"SENP2"
"SENP6",2,"SENP6"
"SERPINB4",2,"SERPINB4"
"SETBP1",2,"SETBP1"
"SETD2",2,"SETD2"
"SEZ6L",2,"SEZ6L"
"SF3B1",2,"SF3B1"
"SH3D19",2,"SH3D19"
"SH3PXD2A",2,"SH3PXD2A"
"SHROOM2",2,"SHROOM2"
"SIGLEC12",2,"SIGLEC12"
"SIKE1",2,"SIKE1"
"SLC12A4",2,"SLC12A4"
"SLC13A1",2,"SLC13A1"
"SLC16A4",2,"SLC16A4"
"SLC1A6",2,"SLC1A6"
"SLC25A45",2,"SLC25A45"
"SLC35B1",2,"SLC35B1"
"SLC38A4",2,"SLC38A4"
"SLC39A12",2,"SLC39A12"
"SLC39A2",2,"SLC39A2"
"SLC39A7",2,"SLC39A7"
"SLC5A2",2,"SLC5A2"
"SLC6A8",2,"SLC6A8"
"SLC9C1",2,"SLC9C1"
"SLCO2B1",2,"SLCO2B1"
"SLFN5",2,"SLFN5"
"SLIT3",2,"SLIT3"
"SLITRK3",2,"SLITRK3"
"SMARCA5",2,"SMARCA5"
"SMARCC2",2,"SMARCC2"
"SMC1A",2,"SMC1A"
"SMC2",2,"SMC2"
"SMG7",2,"SMG7"
"SMURF1",2,"SMURF1"
"SNAI2",2,"SNAI2"
"SNRK",2,"SNRK"
"SNX16",2,"SNX16"
"SNX29",2,"SNX29"
"SOAT1",2,"SOAT1"
"SOCS4",2,"SOCS4"
"SORCS3",2,"SORCS3"
"SORL1",2,"SORL1"
"SOS1",2,"SOS1"
"SP4",2,"SP4"
"SPAG16",2,"SPAG16"
"SPAG5",2,"SPAG5"
"SPDL1",2,"SPDL1"
"SPIN2B",2,"SPIN2B"
"SPON2",2,"SPON2"
"SPPL3",2,"SPPL3"
"SPTBN2",2,"SPTBN2"
"SPZ1",2,"SPZ1"
"SQLE",2,"SQLE"
"SRCAP",2,"SRCAP"
"SRGAP1",2,"SRGAP1"
"SRRM2",2,"SRRM2"
"SRRT",2,"SRRT"
"ST18",2,"ST18"
"STXBP5L",2,"STXBP5L"
"SULF2",2,"SULF2"
"SUPT20H",2,"SUPT20H"
"SVEP1",2,"SVEP1"
"SYCP2L",2,"SYCP2L"
"SYNPO2",2,"SYNPO2"
"SYTL3",2,"SYTL3"
"SZT2",2,"SZT2"
"TAAR5",2,"TAAR5"
"TAB3",2,"TAB3"
"TACR3",2,"TACR3"
"TAF1",2,"TAF1"
"TAF1L",2,"TAF1L"
"TAF2",2,"TAF2"
"TAOK3",2,"TAOK3"
"TARBP1",2,"TARBP1"
"TARS",2,"TARS"
"TAX1BP1",2,"TAX1BP1"
"TBC1D2",2,"TBC1D2"
"TBC1D31",2,"TBC1D31"
"TBC1D7",2,"TBC1D7"
"TBC1D8B",2,"TBC1D8B"
"TBC1D9",2,"TBC1D9"
"TBCCD1",2,"TBCCD1"
"TBK1",2,"TBK1"
"TBL2",2,"TBL2"
"TBX18",2,"TBX18"
"TCN2",2,"TCN2"
"TCTN2",2,"TCTN2"
"TEAD1",2,"TEAD1"
"TECPR2",2,"TECPR2"
"TEFM",2,"TEFM"
"TEK",2,"TEK"
"TENM2",2,"TENM2"
"TERT",2,"TERT"
"TET1",2,"TET1"
"TFE3",2,"TFE3"
"THBS2",2,"THBS2"
"THSD7B",2,"THSD7B"
"TIAM2",2,"TIAM2"
"TIMELESS",2,"TIMELESS"
"TK1",2,"TK1"
"TLN2",2,"TLN2"
"TLR2",2,"TLR2"
"TLR7",2,"TLR7"
"TLR8",2,"TLR8"
"TM7SF2",2,"TM7SF2"
"TM9SF4",2,"TM9SF4"
"TMC1",2,"TMC1"
"TMCC1",2,"TMCC1"
"TMEM131",2,"TMEM131"
"TMEM143",2,"TMEM143"
"TMEM2",2,"TMEM2"
"TMEM26",2,"TMEM26"
"TMSB15A",2,"TMSB15A"
"TMX1",2,"TMX1"
"TNC",2,"TNC"
"TNIK",2,"TNIK"
"TNRC6B",2,"TNRC6B"
"TOPBP1",2,"TOPBP1"
"TOR3A",2,"TOR3A"
"TP53",2,"TP53"
"TP53BP1",2,"TP53BP1"
"TP73",2,"TP73"
"TPBG",2,"TPBG"
"TRAFD1",2,"TRAFD1"
"TRHDE",2,"TRHDE"
"TRIM24",2,"TRIM24"
"TRIM26",2,"TRIM26"
"TRIO",2,"TRIO"
"TRIP11",2,"TRIP11"
"TRMT10C",2,"TRMT10C"
"TRPA1",2,"TRPA1"
"TRPM7",2,"TRPM7"
"TRPS1",2,"TRPS1"
"TTC39C",2,"TTC39C"
"TTF2",2,"TTF2"
"TTK",2,"TTK"
"TTLL4",2,"TTLL4"
"TTLL5",2,"TTLL5"
"TTLL7",2,"TTLL7"
"TULP2",2,"TULP2"
"UBQLN3",2,"UBQLN3"
"UBR1",2,"UBR1"
"UBR4",2,"UBR4"
"UBXN2B",2,"UBXN2B"
"UGT2B7",2,"UGT2B7"
"ULK3",2,"ULK3"
"UPF3B",2,"UPF3B"
"UQCRC1",2,"UQCRC1"
"URGCP",2,"URGCP"
"USP24",2,"USP24"
"USP6",2,"USP6"
"USP9Y",2,"USP9Y"
"VAPA",2,"VAPA"
"VCAM1",2,"VCAM1"
"VCAN",2,"VCAN"
"VCL",2,"VCL"
"VWA2",2,"VWA2"
"VWA8",2,"VWA8"
"WDR17",2,"WDR17"
"WDR35",2,"WDR35"
"WDR47",2,"WDR47"
"WDR49",2,"WDR49"
"WDR7",2,"WDR7"
"WRN",2,"WRN"
"XRCC6BP1",2,"XRCC6BP1"
"XRN1",2,"XRN1"
"XXbac-BPG116M5.17",2,"XXbac-BPG116M5.17"
"YES1",2,"YES1"
"YTHDC2",2,"YTHDC2"
"ZBED9",2,"ZBED9"
"ZBTB22",2,"ZBTB22"
"ZC3H4",2,"ZC3H4"
"ZC3H7A",2,"ZC3H7A"
"ZDBF2",2,"ZDBF2"
"ZEB2",2,"ZEB2"
"ZFC3H1",2,"ZFC3H1"
"ZFP2",2,"ZFP2"
"ZFP36",2,"ZFP36"
"ZFP36L2",2,"ZFP36L2"
"ZFYVE16",2,"ZFYVE16"
"ZKSCAN3",2,"ZKSCAN3"
"ZMIZ1",2,"ZMIZ1"
"ZMIZ2",2,"ZMIZ2"
"ZMYM4",2,"ZMYM4"
"ZNF10",2,"ZNF10"
"ZNF106",2,"ZNF106"
"ZNF148",2,"ZNF148"
"ZNF211",2,"ZNF211"
"ZNF234",2,"ZNF234"
"ZNF254",2,"ZNF254"
"ZNF280D",2,"ZNF280D"
"ZNF283",2,"ZNF283"
"ZNF284",2,"ZNF284"
"ZNF311",2,"ZNF311"
"ZNF326",2,"ZNF326"
"ZNF337",2,"ZNF337"
"ZNF345",2,"ZNF345"
"ZNF385D",2,"ZNF385D"
"ZNF467",2,"ZNF467"
"ZNF491",2,"ZNF491"
"ZNF521",2,"ZNF521"
"ZNF528",2,"ZNF528"
"ZNF540",2,"ZNF540"
"ZNF544",2,"ZNF544"
"ZNF560",2,"ZNF560"
"ZNF592",2,"ZNF592"
"ZNF624",2,"ZNF624"
"ZNF644",2,"ZNF644"
"ZNF658",2,"ZNF658"
"ZNF683",2,"ZNF683"
"ZNF711",2,"ZNF711"
"ZNF716",2,"ZNF716"
"ZNF721",2,"ZNF721"
"ZNF763",2,"ZNF763"
"ZNF808",2,"ZNF808"
"ZNRF3",2,"ZNRF3"
"ZSCAN16",2,"ZSCAN16"
"ZSCAN20",2,"ZSCAN20"
"ZW10",2,"ZW10"
"A2M",1,"A2M"
"AAAS",1,"AAAS"
"AACS",1,"AACS"
"AADACL2",1,"AADACL2"
"AASDHPPT",1,"AASDHPPT"
"ABAT",1,"ABAT"
"ABCA10",1,"ABCA10"
"ABCA13",1,"ABCA13"
"ABCA2",1,"ABCA2"
"ABCA6",1,"ABCA6"
"ABCC10",1,"ABCC10"
"ABCD4",1,"ABCD4"
"ABCF1",1,"ABCF1"
"ABHD14A-ACY1",1,"ABHD14A-ACY1"
"ABHD2",1,"ABHD2"
"ABHD6",1,"ABHD6"
"ABL2",1,"ABL2"
"ABLIM1",1,"ABLIM1"
"ABLIM2",1,"ABLIM2"
"ABO",1,"ABO"
"ABR",1,"ABR"
"ABTB2",1,"ABTB2"
"AC004381.6",1,"AC004381.6"
"ACACB",1,"ACACB"
"ACAD11",1,"ACAD11"
"ACAD9",1,"ACAD9"
"ACADL",1,"ACADL"
"ACAN",1,"ACAN"
"ACAP1",1,"ACAP1"
"ACAP2",1,"ACAP2"
"ACBD5",1,"ACBD5"
"ACBD6",1,"ACBD6"
"ACD",1,"ACD"
"ACKR4",1,"ACKR4"
"ACOT7",1,"ACOT7"
"ACSM5",1,"ACSM5"
"ACSS3",1,"ACSS3"
"ACTA1",1,"ACTA1"
"ACTB",1,"ACTB"
"ACTBL2",1,"ACTBL2"
"ACTG1",1,"ACTG1"
"ACTL6B",1,"ACTL6B"
"ACTL9",1,"ACTL9"
"ACTR3B",1,"ACTR3B"
"ACTR6",1,"ACTR6"
"ACVR2A",1,"ACVR2A"
"ACVR2B",1,"ACVR2B"
"ADAM11",1,"ADAM11"
"ADAM12",1,"ADAM12"
"ADAM15",1,"ADAM15"
"ADAM18",1,"ADAM18"
"ADAM2",1,"ADAM2"
"ADAM8",1,"ADAM8"
"ADAMDEC1",1,"ADAMDEC1"
"ADAMTS15",1,"ADAMTS15"
"ADAMTS2",1,"ADAMTS2"
"ADAMTS6",1,"ADAMTS6"
"ADAMTS8",1,"ADAMTS8"
"ADAMTSL1",1,"ADAMTSL1"
"ADAMTSL2",1,"ADAMTSL2"
"ADAMTSL4",1,"ADAMTSL4"
"ADAR",1,"ADAR"
"ADARB1",1,"ADARB1"
"ADARB2",1,"ADARB2"
"ADAT1",1,"ADAT1"
"ADCK1",1,"ADCK1"
"ADCY10",1,"ADCY10"
"ADCY2",1,"ADCY2"
"ADCY7",1,"ADCY7"
"ADD2",1,"ADD2"
"ADGRA1",1,"ADGRA1"
"ADGRA3",1,"ADGRA3"
"ADGRB1",1,"ADGRB1"
"ADGRB2",1,"ADGRB2"
"ADGRD1",1,"ADGRD1"
"ADGRF1",1,"ADGRF1"
"ADGRF3",1,"ADGRF3"
"ADGRF4",1,"ADGRF4"
"ADGRF5",1,"ADGRF5"
"ADGRG5",1,"ADGRG5"
"ADGRG6",1,"ADGRG6"
"ADGRG7",1,"ADGRG7"
"ADH1B",1,"ADH1B"
"ADH4",1,"ADH4"
"ADIPOR1",1,"ADIPOR1"
"ADK",1,"ADK"
"ADM",1,"ADM"
"ADNP",1,"ADNP"
"ADPGK",1,"ADPGK"
"ADPRM",1,"ADPRM"
"ADRA1A",1,"ADRA1A"
"ADRA2B",1,"ADRA2B"
"ADSSL1",1,"ADSSL1"
"AFMID",1,"AFMID"
"AFTPH",1,"AFTPH"
"AGAP5",1,"AGAP5"
"AGAP6",1,"AGAP6"
"AGBL1",1,"AGBL1"
"AGGF1",1,"AGGF1"
"AGL",1,"AGL"
"AGMO",1,"AGMO"
"AGPAT2",1,"AGPAT2"
"AGPAT6",1,"AGPAT6"
"AGPS",1,"AGPS"
"AGR2",1,"AGR2"
"AGXT2",1,"AGXT2"
"AHCYL1",1,"AHCYL1"
"AHNAK",1,"AHNAK"
"AHR",1,"AHR"
"AHRR",1,"AHRR"
"AICDA",1,"AICDA"
"AIFM3",1,"AIFM3"
"AK9",1,"AK9"
"AKAP4",1,"AKAP4"
"AKAP7",1,"AKAP7"
"AKAP8",1,"AKAP8"
"AKNAD1",1,"AKNAD1"
"AKR1D1",1,"AKR1D1"
"AKT3",1,"AKT3"
"ALB",1,"ALB"
"ALCAM",1,"ALCAM"
"ALDH18A1",1,"ALDH18A1"
"ALDH1L1",1,"ALDH1L1"
"ALDH3A2",1,"ALDH3A2"
"ALDH5A1",1,"ALDH5A1"
"ALDH6A1",1,"ALDH6A1"
"ALDOB",1,"ALDOB"
"ALG10B",1,"ALG10B"
"ALG11",1,"ALG11"
"ALG3",1,"ALG3"
"ALG8",1,"ALG8"
"ALK",1,"ALK"
"ALKBH6",1,"ALKBH6"
"ALOX5",1,"ALOX5"
"ALOXE3",1,"ALOXE3"
"ALPK2",1,"ALPK2"
"ALS2",1,"ALS2"
"ALS2CL",1,"ALS2CL"
"ALS2CR11",1,"ALS2CR11"
"ALS2CR12",1,"ALS2CR12"
"ALX3",1,"ALX3"
"AMBN",1,"AMBN"
"AMBP",1,"AMBP"
"AMOTL1",1,"AMOTL1"
"AMOTL2",1,"AMOTL2"
"AMPD3",1,"AMPD3"
"ANAPC2",1,"ANAPC2"
"ANAPC5",1,"ANAPC5"
"ANGEL2",1,"ANGEL2"
"ANGPT1",1,"ANGPT1"
"ANGPTL1",1,"ANGPTL1"
"ANGPTL2",1,"ANGPTL2"
"ANGPTL4",1,"ANGPTL4"
"ANGPTL7",1,"ANGPTL7"
"ANK3",1,"ANK3"
"ANKEF1",1,"ANKEF1"
"ANKH",1,"ANKH"
"ANKHD1-EIF4EBP3",1,"ANKHD1-EIF4EBP3"
"ANKIB1",1,"ANKIB1"
"ANKK1",1,"ANKK1"
"ANKRD11",1,"ANKRD11"
"ANKRD20A1",1,"ANKRD20A1"
"ANKRD20A2",1,"ANKRD20A2"
"ANKRD24",1,"ANKRD24"
"ANKRD28",1,"ANKRD28"
"ANKRD32",1,"ANKRD32"
"ANKRD36",1,"ANKRD36"
"ANKRD42",1,"ANKRD42"
"ANKRD45",1,"ANKRD45"
"ANKRD50",1,"ANKRD50"
"ANKS1B",1,"ANKS1B"
"ANKZF1",1,"ANKZF1"
"ANO2",1,"ANO2"
"ANO3",1,"ANO3"
"ANO5",1,"ANO5"
"ANO6",1,"ANO6"
"ANO8",1,"ANO8"
"ANP32A",1,"ANP32A"
"ANPEP",1,"ANPEP"
"ANTXR2",1,"ANTXR2"
"ANXA3",1,"ANXA3"
"AP2A2",1,"AP2A2"
"AP2B1",1,"AP2B1"
"AP3D1",1,"AP3D1"
"AP3M1",1,"AP3M1"
"AP3M2",1,"AP3M2"
"AP3S1",1,"AP3S1"
"AP4B1",1,"AP4B1"
"APAF1",1,"APAF1"
"APLF",1,"APLF"
"APOA4",1,"APOA4"
"APOBEC1",1,"APOBEC1"
"APOL2",1,"APOL2"
"APOL5",1,"APOL5"
"APOL6",1,"APOL6"
"APPBP2",1,"APPBP2"
"APPL1",1,"APPL1"
"AQP4",1,"AQP4"
"AQP5",1,"AQP5"
"AQP6",1,"AQP6"
"AQP9",1,"AQP9"
"ARAP2",1,"ARAP2"
"ARC",1,"ARC"
"ARFGEF1",1,"ARFGEF1"
"ARFIP1",1,"ARFIP1"
"ARHGAP15",1,"ARHGAP15"
"ARHGAP17",1,"ARHGAP17"
"ARHGAP20",1,"ARHGAP20"
"ARHGAP26",1,"ARHGAP26"
"ARHGAP28",1,"ARHGAP28"
"ARHGAP30",1,"ARHGAP30"
"ARHGAP32",1,"ARHGAP32"
"ARHGAP33",1,"ARHGAP33"
"ARHGAP36",1,"ARHGAP36"
"ARHGAP5",1,"ARHGAP5"
"ARHGEF10",1,"ARHGEF10"
"ARHGEF10L",1,"ARHGEF10L"
"ARHGEF12",1,"ARHGEF12"
"ARHGEF15",1,"ARHGEF15"
"ARHGEF18",1,"ARHGEF18"
"ARHGEF2",1,"ARHGEF2"
"ARHGEF39",1,"ARHGEF39"
"ARHGEF4",1,"ARHGEF4"
"ARHGEF5",1,"ARHGEF5"
"ARHGEF6",1,"ARHGEF6"
"ARHGEF7",1,"ARHGEF7"
"ARID1B",1,"ARID1B"
"ARID3B",1,"ARID3B"
"ARID5A",1,"ARID5A"
"ARL14",1,"ARL14"
"ARMC1",1,"ARMC1"
"ARMC12",1,"ARMC12"
"ARMCX1",1,"ARMCX1"
"ARMCX2",1,"ARMCX2"
"ARMCX3",1,"ARMCX3"
"ARMT1",1,"ARMT1"
"ARRB1",1,"ARRB1"
"ARRDC2",1,"ARRDC2"
"ARRDC4",1,"ARRDC4"
"ARRDC5",1,"ARRDC5"
"ARSF",1,"ARSF"
"ARSG",1,"ARSG"
"ARSH",1,"ARSH"
"ARSK",1,"ARSK"
"ARVCF",1,"ARVCF"
"ARX",1,"ARX"
"ASAP2",1,"ASAP2"
"ASB10",1,"ASB10"
"ASCC3",1,"ASCC3"
"ASH1L",1,"ASH1L"
"ASIC4",1,"ASIC4"
"ASMT",1,"ASMT"
"ASPDH",1,"ASPDH"
"ASRGL1",1,"ASRGL1"
"ASTN2",1,"ASTN2"
"ASXL1",1,"ASXL1"
"ATAD2",1,"ATAD2"
"ATG12",1,"ATG12"
"ATG14",1,"ATG14"
"ATG2A",1,"ATG2A"
"ATG3",1,"ATG3"
"ATIC",1,"ATIC"
"ATMIN",1,"ATMIN"
"ATP10B",1,"ATP10B"
"ATP13A4",1,"ATP13A4"
"ATP1A1",1,"ATP1A1"
"ATP1B4",1,"ATP1B4"
"ATP2A2",1,"ATP2A2"
"ATP2B3",1,"ATP2B3"
"ATP2C1",1,"ATP2C1"
"ATP2C2",1,"ATP2C2"
"ATP5B",1,"ATP5B"
"ATP6V1A",1,"ATP6V1A"
"ATP6V1B2",1,"ATP6V1B2"
"ATP6V1C1",1,"ATP6V1C1"
"ATP7B",1,"ATP7B"
"ATP8B1",1,"ATP8B1"
"ATP8B3",1,"ATP8B3"
"ATP9B",1,"ATP9B"
"ATPAF1",1,"ATPAF1"
"ATXN2",1,"ATXN2"
"ATXN7",1,"ATXN7"
"ATXN7L1",1,"ATXN7L1"
"ATXN7L2",1,"ATXN7L2"
"AUP1",1,"AUP1"
"AUTS2",1,"AUTS2"
"AVP",1,"AVP"
"AXIN1",1,"AXIN1"
"AZGP1",1,"AZGP1"
"B2M",1,"B2M"
"B3GALT5",1,"B3GALT5"
"B3GAT1",1,"B3GAT1"
"B3GNT3",1,"B3GNT3"
"B3GNTL1",1,"B3GNTL1"
"B4GALNT3",1,"B4GALNT3"
"BAAT",1,"BAAT"
"BAG2",1,"BAG2"
"BANK1",1,"BANK1"
"BAZ1A",1,"BAZ1A"
"BAZ1B",1,"BAZ1B"
"BBS7",1,"BBS7"
"BCAN",1,"BCAN"
"BCAP31",1,"BCAP31"
"BCCIP",1,"BCCIP"
"BCKDK",1,"BCKDK"
"BCL11A",1,"BCL11A"
"BCL2L14",1,"BCL2L14"
"BCL6",1,"BCL6"
"BCOR",1,"BCOR"
"BDH2",1,"BDH2"
"BECN1",1,"BECN1"
"BEND2",1,"BEND2"
"BEND3",1,"BEND3"
"BEND4",1,"BEND4"
"BEND6",1,"BEND6"
"BEST3",1,"BEST3"
"BHLHE40",1,"BHLHE40"
"BICC1",1,"BICC1"
"BIRC2",1,"BIRC2"
"BIRC3",1,"BIRC3"
"BLM",1,"BLM"
"BLMH",1,"BLMH"
"BMP1",1,"BMP1"
"BMP2K",1,"BMP2K"
"BMP6",1,"BMP6"
"BMS1",1,"BMS1"
"BNIP1",1,"BNIP1"
"BNIPL",1,"BNIPL"
"BOC",1,"BOC"
"BOLL",1,"BOLL"
"BPI",1,"BPI"
"BPIFB6",1,"BPIFB6"
"BPIFC",1,"BPIFC"
"BRD3",1,"BRD3"
"BRD4",1,"BRD4"
"BRD7",1,"BRD7"
"BRD8",1,"BRD8"
"BRDT",1,"BRDT"
"BRF2",1,"BRF2"
"BRIP1",1,"BRIP1"
"BRIX1",1,"BRIX1"
"BRWD3",1,"BRWD3"
"BSG",1,"BSG"
"BTBD3",1,"BTBD3"
"BTBD6",1,"BTBD6"
"BTBD7",1,"BTBD7"
"BTN2A1",1,"BTN2A1"
"BZRAP1",1,"BZRAP1"
"C10orf11",1,"C10orf11"
"C10orf62",1,"C10orf62"
"C10orf71",1,"C10orf71"
"C10orf76",1,"C10orf76"
"C11orf58",1,"C11orf58"
"C11orf63",1,"C11orf63"
"C11orf70",1,"C11orf70"
"C11orf74",1,"C11orf74"
"C12orf40",1,"C12orf40"
"C14orf166",1,"C14orf166"
"C14orf183",1,"C14orf183"
"C14orf79",1,"C14orf79"
"C15orf39",1,"C15orf39"
"C15orf57",1,"C15orf57"
"C16orf46",1,"C16orf46"
"C16orf58",1,"C16orf58"
"C16orf91",1,"C16orf91"
"C17orf59",1,"C17orf59"
"C19orf35",1,"C19orf35"
"C19orf52",1,"C19orf52"
"C19orf57",1,"C19orf57"
"C1orf101",1,"C1orf101"
"C1orf112",1,"C1orf112"
