"","Freq","Genes"
"C1orf141",1,"C1orf141"
"C1orf210",1,"C1orf210"
"C1orf27",1,"C1orf27"
"C1orf74",1,"C1orf74"
"C1QL4",1,"C1QL4"
"C20orf141",1,"C20orf141"
"C21orf2",1,"C21orf2"
"C2CD5",1,"C2CD5"
"C2orf15",1,"C2orf15"
"C2orf44",1,"C2orf44"
"C2orf83",1,"C2orf83"
"C3",1,"C3"
"C3AR1",1,"C3AR1"
"C3orf62",1,"C3orf62"
"C4A",1,"C4A"
"C4orf22",1,"C4orf22"
"C4orf33",1,"C4orf33"
"C5",1,"C5"
"C6orf203",1,"C6orf203"
"C6orf47",1,"C6orf47"
"C7",1,"C7"
"C7orf33",1,"C7orf33"
"C7orf57",1,"C7orf57"
"C8orf34",1,"C8orf34"
"C8orf46",1,"C8orf46"
"C8orf58",1,"C8orf58"
"C9",1,"C9"
"C9orf152",1,"C9orf152"
"C9orf47",1,"C9orf47"
"C9orf50",1,"C9orf50"
"C9orf72",1,"C9orf72"
"CAB39L",1,"CAB39L"
"CACHD1",1,"CACHD1"
"CACNA1C",1,"CACNA1C"
"CACNA1D",1,"CACNA1D"
"CACNA1H",1,"CACNA1H"
"CACNA1S",1,"CACNA1S"
"CACNA2D1",1,"CACNA2D1"
"CACNA2D3",1,"CACNA2D3"
"CACNG8",1,"CACNG8"
"CACTIN",1,"CACTIN"
"CACUL1",1,"CACUL1"
"CAD",1,"CAD"
"CADM1",1,"CADM1"
"CADPS2",1,"CADPS2"
"CALCB",1,"CALCB"
"CALCR",1,"CALCR"
"CALCRL",1,"CALCRL"
"CALD1",1,"CALD1"
"CALHM2",1,"CALHM2"
"CAMK2A",1,"CAMK2A"
"CAMKK2",1,"CAMKK2"
"CAMKV",1,"CAMKV"
"CAMP",1,"CAMP"
"CAP2",1,"CAP2"
"CAPN13",1,"CAPN13"
"CAPN15",1,"CAPN15"
"CAPN9",1,"CAPN9"
"CAPZA3",1,"CAPZA3"
"CARD6",1,"CARD6"
"CARF",1,"CARF"
"CARHSP1",1,"CARHSP1"
"CASC10",1,"CASC10"
"CASK",1,"CASK"
"CASKIN1",1,"CASKIN1"
"CASKIN2",1,"CASKIN2"
"CASP10",1,"CASP10"
"CASP14",1,"CASP14"
"CASP5",1,"CASP5"
"CASP6",1,"CASP6"
"CASP8AP2",1,"CASP8AP2"
"CAST",1,"CAST"
"CATSPERD",1,"CATSPERD"
"CATSPERG",1,"CATSPERG"
"CBFA2T2",1,"CBFA2T2"
"CBLB",1,"CBLB"
"CBR1",1,"CBR1"
"CBWD1",1,"CBWD1"
"CBWD3",1,"CBWD3"
"CBX5",1,"CBX5"
"CBX6",1,"CBX6"
"CC2D1A",1,"CC2D1A"
"CC2D2A",1,"CC2D2A"
"CCAR1",1,"CCAR1"
"CCAR2",1,"CCAR2"
"CCDC110",1,"CCDC110"
"CCDC112",1,"CCDC112"
"CCDC122",1,"CCDC122"
"CCDC132",1,"CCDC132"
"CCDC14",1,"CCDC14"
"CCDC144A",1,"CCDC144A"
"CCDC148",1,"CCDC148"
"CCDC155",1,"CCDC155"
"CCDC18",1,"CCDC18"
"CCDC181",1,"CCDC181"
"CCDC24",1,"CCDC24"
"CCDC27",1,"CCDC27"
"CCDC28A",1,"CCDC28A"
"CCDC38",1,"CCDC38"
"CCDC42",1,"CCDC42"
"CCDC62",1,"CCDC62"
"CCDC63",1,"CCDC63"
"CCDC67",1,"CCDC67"
"CCDC68",1,"CCDC68"
"CCDC73",1,"CCDC73"
"CCDC80",1,"CCDC80"
"CCDC82",1,"CCDC82"
"CCDC88A",1,"CCDC88A"
"CCDC97",1,"CCDC97"
"CCER1",1,"CCER1"
"CCKAR",1,"CCKAR"
"CCL23",1,"CCL23"
"CCNJ",1,"CCNJ"
"CCPG1",1,"CCPG1"
"CCRN4L",1,"CCRN4L"
"CCT2",1,"CCT2"
"CCT5",1,"CCT5"
"CCT6B",1,"CCT6B"
"CD101",1,"CD101"
"CD109",1,"CD109"
"CD163L1",1,"CD163L1"
"CD180",1,"CD180"
"CD200R1L",1,"CD200R1L"
"CD248",1,"CD248"
"CD3D",1,"CD3D"
"CD3G",1,"CD3G"
"CD40LG",1,"CD40LG"
"CD46",1,"CD46"
"CD5",1,"CD5"
"CD84",1,"CD84"
"CD93",1,"CD93"
"CDAN1",1,"CDAN1"
"CDC42BPB",1,"CDC42BPB"
"CDC7",1,"CDC7"
"CDH10",1,"CDH10"
"CDH11",1,"CDH11"
"CDH12",1,"CDH12"
"CDH13",1,"CDH13"
"CDH17",1,"CDH17"
"CDH19",1,"CDH19"
"CDH26",1,"CDH26"
"CDH4",1,"CDH4"
"CDH6",1,"CDH6"
"CDHR1",1,"CDHR1"
"CDHR2",1,"CDHR2"
"CDHR3",1,"CDHR3"
"CDK11A",1,"CDK11A"
"CDK12",1,"CDK12"
"CDK13",1,"CDK13"
"CDKL5",1,"CDKL5"
"CDKN1A",1,"CDKN1A"
"CDKN2A",1,"CDKN2A"
"CDR2",1,"CDR2"
"CDS2",1,"CDS2"
"CDV3",1,"CDV3"
"CEACAM4",1,"CEACAM4"
"CELF2",1,"CELF2"
"CELF5",1,"CELF5"
"CELSR3",1,"CELSR3"
"CENPE",1,"CENPE"
"CENPI",1,"CENPI"
"CENPT",1,"CENPT"
"CENPW",1,"CENPW"
"CEP126",1,"CEP126"
"CEP152",1,"CEP152"
"CEP57",1,"CEP57"
"CEP57L1",1,"CEP57L1"
"CEP68",1,"CEP68"
"CEP83",1,"CEP83"
"CEP85",1,"CEP85"
"CEP85L",1,"CEP85L"
"CEP89",1,"CEP89"
"CERKL",1,"CERKL"
"CES1",1,"CES1"
"CES5A",1,"CES5A"
"CFAP43",1,"CFAP43"
"CFAP44",1,"CFAP44"
"CFAP45",1,"CFAP45"
"CFAP57",1,"CFAP57"
"CFAP74",1,"CFAP74"
"CFHR5",1,"CFHR5"
"CFTR",1,"CFTR"
"CGB1",1,"CGB1"
"CGN",1,"CGN"
"CGNL1",1,"CGNL1"
"CHAF1A",1,"CHAF1A"
"CHAF1B",1,"CHAF1B"
"CHCHD1",1,"CHCHD1"
"CHCHD2",1,"CHCHD2"
"CHD1",1,"CHD1"
"CHD6",1,"CHD6"
"CHD7",1,"CHD7"
"CHD9",1,"CHD9"
"CHEK1",1,"CHEK1"
"CHGB",1,"CHGB"
"CHIC1",1,"CHIC1"
"CHIC2",1,"CHIC2"
"CHN1",1,"CHN1"
"CHP1",1,"CHP1"
"CHRDL1",1,"CHRDL1"
"CHRM3",1,"CHRM3"
"CHRNA2",1,"CHRNA2"
"CHRNA3",1,"CHRNA3"
"CHST10",1,"CHST10"
"CHST8",1,"CHST8"
"CHSY3",1,"CHSY3"
"CIDEA",1,"CIDEA"
"CILP2",1,"CILP2"
"CIR1",1,"CIR1"
"CIT",1,"CIT"
"CKAP2L",1,"CKAP2L"
"CKAP5",1,"CKAP5"
"CLASP2",1,"CLASP2"
"CLCA4",1,"CLCA4"
"CLCN2",1,"CLCN2"
"CLCN5",1,"CLCN5"
"CLDN14",1,"CLDN14"
"CLDN18",1,"CLDN18"
"CLDN6",1,"CLDN6"
"CLDN7",1,"CLDN7"
"CLEC12B",1,"CLEC12B"
"CLEC2B",1,"CLEC2B"
"CLEC3A",1,"CLEC3A"
"CLIC2",1,"CLIC2"
"CLIC5",1,"CLIC5"
"CLIC6",1,"CLIC6"
"CLINT1",1,"CLINT1"
"CLIP2",1,"CLIP2"
"CLK1",1,"CLK1"
"CLK4",1,"CLK4"
"CLRN3",1,"CLRN3"
"CLSTN2",1,"CLSTN2"
"CLUH",1,"CLUH"
"CLVS1",1,"CLVS1"
"CMTR1",1,"CMTR1"
"CMYA5",1,"CMYA5"
"CNGA3",1,"CNGA3"
"CNGA4",1,"CNGA4"
"CNGB1",1,"CNGB1"
"CNGB3",1,"CNGB3"
"CNIH2",1,"CNIH2"
"CNIH4",1,"CNIH4"
"CNKSR1",1,"CNKSR1"
"CNN2",1,"CNN2"
"CNNM1",1,"CNNM1"
"CNNM4",1,"CNNM4"
"CNOT2",1,"CNOT2"
"CNPY4",1,"CNPY4"
"CNRIP1",1,"CNRIP1"
"CNST",1,"CNST"
"CNTF",1,"CNTF"
"CNTN1",1,"CNTN1"
"CNTN4",1,"CNTN4"
"CNTNAP2",1,"CNTNAP2"
"CNTNAP4",1,"CNTNAP4"
"CNTNAP5",1,"CNTNAP5"
"CNTRL",1,"CNTRL"
"COBL",1,"COBL"
"COG3",1,"COG3"
"COG4",1,"COG4"
"COG8",1,"COG8"
"COIL",1,"COIL"
"COL10A1",1,"COL10A1"
"COL14A1",1,"COL14A1"
"COL15A1",1,"COL15A1"
"COL19A1",1,"COL19A1"
"COL20A1",1,"COL20A1"
"COL2A1",1,"COL2A1"
"COL4A1",1,"COL4A1"
"COL4A2",1,"COL4A2"
"COL4A3BP",1,"COL4A3BP"
"COL4A5",1,"COL4A5"
"COL4A6",1,"COL4A6"
"COL8A1",1,"COL8A1"
"COL8A2",1,"COL8A2"
"COL9A2",1,"COL9A2"
"COL9A3",1,"COL9A3"
"COPB1",1,"COPB1"
"COPG1",1,"COPG1"
"COPG2",1,"COPG2"
"COPS4",1,"COPS4"
"CORO7",1,"CORO7"
"COX20",1,"COX20"
"COX7B",1,"COX7B"
"CPE",1,"CPE"
"CPEB4",1,"CPEB4"
"CPM",1,"CPM"
"CPNE1",1,"CPNE1"
"CPNE3",1,"CPNE3"
"CPNE8",1,"CPNE8"
"CPOX",1,"CPOX"
"CPSF3",1,"CPSF3"
"CPSF6",1,"CPSF6"
"CPT1C",1,"CPT1C"
"CPZ",1,"CPZ"
"CR1",1,"CR1"
"CR2",1,"CR2"
"CRACR2A",1,"CRACR2A"
"CRB1",1,"CRB1"
"CREBBP",1,"CREBBP"
"CREBZF",1,"CREBZF"
"CRHR1",1,"CRHR1"
"CRIPAK",1,"CRIPAK"
"CRISP2",1,"CRISP2"
"CRISPLD2",1,"CRISPLD2"
"CRMP1",1,"CRMP1"
"CRP",1,"CRP"
"CRTC2",1,"CRTC2"
"CRTC3",1,"CRTC3"
"CRY1",1,"CRY1"
"CRYL1",1,"CRYL1"
"CRYM",1,"CRYM"
"CSDE1",1,"CSDE1"
"CSF2RA",1,"CSF2RA"
"CSF2RB",1,"CSF2RB"
"CSF3R",1,"CSF3R"
"CSGALNACT2",1,"CSGALNACT2"
"CSNK1E",1,"CSNK1E"
"CSNK1G1",1,"CSNK1G1"
"CSNK2A1",1,"CSNK2A1"
"CSPG4",1,"CSPG4"
"CSRNP1",1,"CSRNP1"
"CSRNP2",1,"CSRNP2"
"CSRP2BP",1,"CSRP2BP"
"CST6",1,"CST6"
"CT47B1",1,"CT47B1"
"CTAGE4",1,"CTAGE4"
"CTBP2",1,"CTBP2"
"CTCF",1,"CTCF"
"CTCFL",1,"CTCFL"
"CTDP1",1,"CTDP1"
"CTNNAL1",1,"CTNNAL1"
"CTNND1",1,"CTNND1"
"CTPS1",1,"CTPS1"
"CTPS2",1,"CTPS2"
"CTR9",1,"CTR9"
"CTSH",1,"CTSH"
"CTSO",1,"CTSO"
"CUBN",1,"CUBN"
"CUEDC1",1,"CUEDC1"
"CUL2",1,"CUL2"
"CUL3",1,"CUL3"
"CUL9",1,"CUL9"
"CWC15",1,"CWC15"
"CWC22",1,"CWC22"
"CXCL13",1,"CXCL13"
"CXCR1",1,"CXCR1"
"CXorf38",1,"CXorf38"
"CXorf65",1,"CXorf65"
"CXorf66",1,"CXorf66"
"CYB5R2",1,"CYB5R2"
"CYB5RL",1,"CYB5RL"
"CYC1",1,"CYC1"
"CYLD",1,"CYLD"
"CYP11B1",1,"CYP11B1"
"CYP19A1",1,"CYP19A1"
"CYP20A1",1,"CYP20A1"
"CYP27B1",1,"CYP27B1"
"CYP2A13",1,"CYP2A13"
"CYP2C19",1,"CYP2C19"
"CYP2C8",1,"CYP2C8"
"CYP2E1",1,"CYP2E1"
"CYP4F11",1,"CYP4F11"
"CYP7A1",1,"CYP7A1"
"CYTH1",1,"CYTH1"
"CYTH2",1,"CYTH2"
"CYTH4",1,"CYTH4"
"DAB1",1,"DAB1"
"DACH1",1,"DACH1"
"DAGLA",1,"DAGLA"
"DAP3",1,"DAP3"
"DAPK1",1,"DAPK1"
"DBH",1,"DBH"
"DBT",1,"DBT"
"DCAF12",1,"DCAF12"
"DCAF13",1,"DCAF13"
"DCAF16",1,"DCAF16"
"DCAF17",1,"DCAF17"
"DCAF4L1",1,"DCAF4L1"
"DCAF6",1,"DCAF6"
"DCAF8L1",1,"DCAF8L1"
"DCAF8L2",1,"DCAF8L2"
"DCAKD",1,"DCAKD"
"DCBLD1",1,"DCBLD1"
"DCDC2",1,"DCDC2"
"DCHS1",1,"DCHS1"
"DCHS2",1,"DCHS2"
"DCLK2",1,"DCLK2"
"DCLRE1A",1,"DCLRE1A"
"DCLRE1B",1,"DCLRE1B"
"DCLRE1C",1,"DCLRE1C"
"DCP1A",1,"DCP1A"
"DCST2",1,"DCST2"
"DDHD2",1,"DDHD2"
"DDI2",1,"DDI2"
"DDIT4",1,"DDIT4"
"DDX1",1,"DDX1"
"DDX18",1,"DDX18"
"DDX23",1,"DDX23"
"DDX28",1,"DDX28"
"DDX39A",1,"DDX39A"
"DDX3Y",1,"DDX3Y"
"DDX4",1,"DDX4"
"DDX43",1,"DDX43"
"DDX58",1,"DDX58"
"DEAF1",1,"DEAF1"
"DECR2",1,"DECR2"
"DEFB118",1,"DEFB118"
"DEGS1",1,"DEGS1"
"DEGS2",1,"DEGS2"
"DENND4B",1,"DENND4B"
"DENND4C",1,"DENND4C"
"DENND5A",1,"DENND5A"
"DENND6A",1,"DENND6A"
"DEPDC1",1,"DEPDC1"
"DEPDC5",1,"DEPDC5"
"DERL1",1,"DERL1"
"DERL2",1,"DERL2"
"DGAT2L6",1,"DGAT2L6"
"DGKA",1,"DGKA"
"DGKG",1,"DGKG"
"DGKQ",1,"DGKQ"
"DHCR24",1,"DHCR24"
"DHH",1,"DHH"
"DHX16",1,"DHX16"
"DHX36",1,"DHX36"
"DHX37",1,"DHX37"
"DHX38",1,"DHX38"
"DHX57",1,"DHX57"
"DIAPH2",1,"DIAPH2"
"DIDO1",1,"DIDO1"
"DIEXF",1,"DIEXF"
"DIO1",1,"DIO1"
"DIP2C",1,"DIP2C"
"DIS3",1,"DIS3"
"DIS3L",1,"DIS3L"
"DISC1",1,"DISC1"
"DISP1",1,"DISP1"
"DLC1",1,"DLC1"
"DLEC1",1,"DLEC1"
"DLG1",1,"DLG1"
"DLG3",1,"DLG3"
"DLGAP2",1,"DLGAP2"
"DMBT1",1,"DMBT1"
"DMD",1,"DMD"
"DMPK",1,"DMPK"
"DMRTB1",1,"DMRTB1"
"DMTF1",1,"DMTF1"
"DNAAF2",1,"DNAAF2"
"DNAH11",1,"DNAH11"
"DNAH5",1,"DNAH5"
"DNAI2",1,"DNAI2"
"DNAJB11",1,"DNAJB11"
"DNAJB9",1,"DNAJB9"
"DNAJC12",1,"DNAJC12"
"DNAJC14",1,"DNAJC14"
"DNAJC16",1,"DNAJC16"
"DNAJC17",1,"DNAJC17"
"DNAJC25",1,"DNAJC25"
"DNAJC5G",1,"DNAJC5G"
"DNALI1",1,"DNALI1"
"DNHD1",1,"DNHD1"
"DNM3",1,"DNM3"
"DNMT1",1,"DNMT1"
"DNTTIP2",1,"DNTTIP2"
"DOCK3",1,"DOCK3"
"DOCK4",1,"DOCK4"
"DOK1",1,"DOK1"
"DOK5",1,"DOK5"
"DOK6",1,"DOK6"
"DPF1",1,"DPF1"
"DPF3",1,"DPF3"
"DPH1",1,"DPH1"
"DPP3",1,"DPP3"
"DPP8",1,"DPP8"
"DPY19L1",1,"DPY19L1"
"DPY19L2",1,"DPY19L2"
"DPY19L4",1,"DPY19L4"
"DRAM1",1,"DRAM1"
"DRG1",1,"DRG1"
"DRP2",1,"DRP2"
"DSC2",1,"DSC2"
"DSC3",1,"DSC3"
"DSP",1,"DSP"
"DSPP",1,"DSPP"
"DTNA",1,"DTNA"
"DTNB",1,"DTNB"
"DTWD1",1,"DTWD1"
"DTX1",1,"DTX1"
"DTYMK",1,"DTYMK"
"DUSP13",1,"DUSP13"
"DUSP19",1,"DUSP19"
"DUSP27",1,"DUSP27"
"DUSP5",1,"DUSP5"
"DYNC1I1",1,"DYNC1I1"
"DYNC1LI2",1,"DYNC1LI2"
"DYNC2H1",1,"DYNC2H1"
"DYNLL1",1,"DYNLL1"
"DYNLT3",1,"DYNLT3"
"DYRK3",1,"DYRK3"
"DYX1C1",1,"DYX1C1"
"DZIP1",1,"DZIP1"
"E2F3",1,"E2F3"
"E4F1",1,"E4F1"
"EBAG9",1,"EBAG9"
"EBF1",1,"EBF1"
"EBPL",1,"EBPL"
"ECE2",1,"ECE2"
"ECEL1",1,"ECEL1"
"ECHDC2",1,"ECHDC2"
"ECM2",1,"ECM2"
"ECSIT",1,"ECSIT"
"ECT2L",1,"ECT2L"
"EDDM3B",1,"EDDM3B"
"EDEM1",1,"EDEM1"
"EDEM3",1,"EDEM3"
"EDNRA",1,"EDNRA"
"EDRF1",1,"EDRF1"
"EEA1",1,"EEA1"
"EED",1,"EED"
"EEF1A1",1,"EEF1A1"
"EEF1A2",1,"EEF1A2"
"EEF1D",1,"EEF1D"
"EEF2",1,"EEF2"
"EFCAB1",1,"EFCAB1"
"EFCAB14",1,"EFCAB14"
"EFCAB6",1,"EFCAB6"
"EFS",1,"EFS"
"EFTUD2",1,"EFTUD2"
"EGFL6",1,"EGFL6"
"EGFLAM",1,"EGFLAM"
"EHBP1",1,"EHBP1"
"EHD1",1,"EHD1"
"EHHADH",1,"EHHADH"
"EID3",1,"EID3"
"EIF2A",1,"EIF2A"
"EIF2S2",1,"EIF2S2"
"EIF3A",1,"EIF3A"
"EIF3B",1,"EIF3B"
"EIF3D",1,"EIF3D"
"EIF3E",1,"EIF3E"
"EIF3G",1,"EIF3G"
"EIF4A2",1,"EIF4A2"
"EIF4G2",1,"EIF4G2"
"EIF5",1,"EIF5"
"EIF5B",1,"EIF5B"
"ELFN2",1,"ELFN2"
"ELK4",1,"ELK4"
"ELL",1,"ELL"
"ELL2",1,"ELL2"
"ELMO1",1,"ELMO1"
"ELOVL7",1,"ELOVL7"
"EMC4",1,"EMC4"
"EMILIN1",1,"EMILIN1"
"EML4",1,"EML4"
"ENG",1,"ENG"
"ENGASE",1,"ENGASE"
"ENKD1",1,"ENKD1"
"ENPP3",1,"ENPP3"
"ENPP6",1,"ENPP6"
"ENPP7",1,"ENPP7"
"ENTPD1",1,"ENTPD1"
"ENTPD7",1,"ENTPD7"
"EP400NL",1,"EP400NL"
"EPB41L1",1,"EPB41L1"
"EPB41L3",1,"EPB41L3"
"EPHA3",1,"EPHA3"
"EPHA5",1,"EPHA5"
"EPHA6",1,"EPHA6"
"EPS15L1",1,"EPS15L1"
"EPS8L1",1,"EPS8L1"
"EPSTI1",1,"EPSTI1"
"EPX",1,"EPX"
"EQTN",1,"EQTN"
"ERAP2",1,"ERAP2"
"ERBB2IP",1,"ERBB2IP"
"ERCC3",1,"ERCC3"
"ERCC6",1,"ERCC6"
"ERCC6L2",1,"ERCC6L2"
"ERF",1,"ERF"
"ERG",1,"ERG"
"ERI1",1,"ERI1"
"ERICH3",1,"ERICH3"
"ERO1L",1,"ERO1L"
"ERVW-1",1,"ERVW-1"
"ESCO1",1,"ESCO1"
"ESF1",1,"ESF1"
"ESPL1",1,"ESPL1"
"ESPN",1,"ESPN"
"ETF1",1,"ETF1"
"ETV1",1,"ETV1"
"ETV5",1,"ETV5"
"EVC",1,"EVC"
"EVL",1,"EVL"
"EXD1",1,"EXD1"
"EXD2",1,"EXD2"
"EXOC2",1,"EXOC2"
"EXOC3L2",1,"EXOC3L2"
"EXOC3L4",1,"EXOC3L4"
"EXOC4",1,"EXOC4"
"EXOC7",1,"EXOC7"
"EXOSC10",1,"EXOSC10"
"EXOSC3",1,"EXOSC3"
"EXT1",1,"EXT1"
"EXTL2",1,"EXTL2"
"EYA3",1,"EYA3"
"EYA4",1,"EYA4"
"EZH1",1,"EZH1"
"EZH2",1,"EZH2"
"EZR",1,"EZR"
"F10",1,"F10"
"F13B",1,"F13B"
"F2RL2",1,"F2RL2"
"F7",1,"F7"
"F8",1,"F8"
"F9",1,"F9"
"FA2H",1,"FA2H"
"FADS6",1,"FADS6"
"FAF2",1,"FAF2"
"FAIM2",1,"FAIM2"
"FAM110C",1,"FAM110C"
"FAM111A",1,"FAM111A"
"FAM114A1",1,"FAM114A1"
"FAM114A2",1,"FAM114A2"
"FAM120C",1,"FAM120C"
"FAM122A",1,"FAM122A"
"FAM122B",1,"FAM122B"
"FAM124B",1,"FAM124B"
"FAM126B",1,"FAM126B"
"FAM131B",1,"FAM131B"
"FAM135A",1,"FAM135A"
"FAM135B",1,"FAM135B"
"FAM13A",1,"FAM13A"
"FAM13C",1,"FAM13C"
"FAM151A",1,"FAM151A"
"FAM153B",1,"FAM153B"
"FAM161A",1,"FAM161A"
"FAM172A",1,"FAM172A"
"FAM175A",1,"FAM175A"
"FAM178A",1,"FAM178A"
"FAM179A",1,"FAM179A"
"FAM179B",1,"FAM179B"
"FAM183B",1,"FAM183B"
"FAM187B",1,"FAM187B"
"FAM196A",1,"FAM196A"
"FAM19A5",1,"FAM19A5"
"FAM208B",1,"FAM208B"
"FAM214B",1,"FAM214B"
"FAM221B",1,"FAM221B"
"FAM222A",1,"FAM222A"
"FAM227B",1,"FAM227B"
"FAM3C",1,"FAM3C"
"FAM47A",1,"FAM47A"
"FAM47E-STBD1",1,"FAM47E-STBD1"
"FAM49A",1,"FAM49A"
"FAM50B",1,"FAM50B"
"FAM53B",1,"FAM53B"
"FAM63B",1,"FAM63B"
"FAM64A",1,"FAM64A"
"FAM72C",1,"FAM72C"
"FAM73A",1,"FAM73A"
"FAM76A",1,"FAM76A"
"FAM76B",1,"FAM76B"
"FAM83B",1,"FAM83B"
"FAM83F",1,"FAM83F"
"FAM84A",1,"FAM84A"
"FAM98C",1,"FAM98C"
"FANCB",1,"FANCB"
"FANCG",1,"FANCG"
"FANCI",1,"FANCI"
"FANCM",1,"FANCM"
"FARP1",1,"FARP1"
"FARSA",1,"FARSA"
"FARSB",1,"FARSB"
"FASN",1,"FASN"
"FASTKD1",1,"FASTKD1"
"FASTKD3",1,"FASTKD3"
"FAT1",1,"FAT1"
"FBLN1",1,"FBLN1"
"FBXL12",1,"FBXL12"
"FBXL2",1,"FBXL2"
"FBXL4",1,"FBXL4"
"FBXL5",1,"FBXL5"
"FBXO10",1,"FBXO10"
"FBXO3",1,"FBXO3"
"FBXO47",1,"FBXO47"
"FBXO7",1,"FBXO7"
"FBXW7",1,"FBXW7"
"FCF1",1,"FCF1"
"FCGR2B",1,"FCGR2B"
"FCGRT",1,"FCGRT"
"FCN2",1,"FCN2"
"FCRL5",1,"FCRL5"
"FECH",1,"FECH"
"FER",1,"FER"
"FER1L6",1,"FER1L6"
"FFAR2",1,"FFAR2"
"FFAR4",1,"FFAR4"
"FGD3",1,"FGD3"
"FGF20",1,"FGF20"
"FGF7",1,"FGF7"
"FGFR2",1,"FGFR2"
"FH",1,"FH"
"FHL2",1,"FHL2"
"FHL3",1,"FHL3"
"FHL5",1,"FHL5"
"FIGNL1",1,"FIGNL1"
"FILIP1",1,"FILIP1"
"FKBP7",1,"FKBP7"
"FKBPL",1,"FKBPL"
"FLOT2",1,"FLOT2"
"FLT3LG",1,"FLT3LG"
"FLT4",1,"FLT4"
"FLVCR1",1,"FLVCR1"
"FLVCR2",1,"FLVCR2"
"FMN2",1,"FMN2"
"FMNL2",1,"FMNL2"
"FMO2",1,"FMO2"
"FMO3",1,"FMO3"
"FN1",1,"FN1"
"FN3KRP",1,"FN3KRP"
"FNBP4",1,"FNBP4"
"FNDC3A",1,"FNDC3A"
"FNDC7",1,"FNDC7"
"FNIP2",1,"FNIP2"
"FNTB",1,"FNTB"
"FOLR2",1,"FOLR2"
"FOLR3",1,"FOLR3"
"FOXD2",1,"FOXD2"
"FOXN2",1,"FOXN2"
"FOXP4",1,"FOXP4"
"FOXR2",1,"FOXR2"
"FPR1",1,"FPR1"
"FREM2",1,"FREM2"
"FRG1",1,"FRG1"
"FRMD4A",1,"FRMD4A"
"FRMD4B",1,"FRMD4B"
"FRMD5",1,"FRMD5"
"FRMPD1",1,"FRMPD1"
"FRS2",1,"FRS2"
"FRS3",1,"FRS3"
"FSCN1",1,"FSCN1"
"FSHR",1,"FSHR"
"FSTL4",1,"FSTL4"
"FUBP3",1,"FUBP3"
"FUT1",1,"FUT1"
"FZD2",1,"FZD2"
"FZD6",1,"FZD6"
"FZR1",1,"FZR1"
"G2E3",1,"G2E3"
"GAB1",1,"GAB1"
"GAB2",1,"GAB2"
"GAB4",1,"GAB4"
"GABBR2",1,"GABBR2"
"GABRA6",1,"GABRA6"
"GABRP",1,"GABRP"
"GABRQ",1,"GABRQ"
"GABRR2",1,"GABRR2"
"GAD2",1,"GAD2"
"GAK",1,"GAK"
"GAL3ST2",1,"GAL3ST2"
"GALC",1,"GALC"
"GALNT13",1,"GALNT13"
"GALNT14",1,"GALNT14"
"GALNT16",1,"GALNT16"
"GALNT18",1,"GALNT18"
"GALNT5",1,"GALNT5"
"GALNT8",1,"GALNT8"
"GAS1",1,"GAS1"
"GAS2L2",1,"GAS2L2"
"GATA5",1,"GATA5"
"GATAD1",1,"GATAD1"
"GATAD2A",1,"GATAD2A"
"GATSL2",1,"GATSL2"
"GBP2",1,"GBP2"
"GBP5",1,"GBP5"
"GCAT",1,"GCAT"
"GCC1",1,"GCC1"
"GCNT4",1,"GCNT4"
"GDF10",1,"GDF10"
"GDF2",1,"GDF2"
"GDI2",1,"GDI2"
