,rowSums(tcga.mut.dat)
PSG9,1
PSMA2,1
PSMA4,1
PSMA6,1
PSMB1,1
PSMB6,1
PSMC4,1
PSMC5,1
PSMD1,1
PSMD11,1
PSMD8,2
PSME2,1
PSME4,1
PSMG1,1
PSPN,1
PTAR1,1
PTBP2,1
PTCD1,1
PTCD2,2
PTCH1,1
PTCHD2,2
PTCHD3,1
PTCHD4,1
PTEN,2
PTGDS,1
PTGER3,2
PTGR2,1
PTH2R,1
PTK2,1
PTK2B,3
PTN,1
PTPDC1,1
PTPN13,2
PTPN14,1
PTPN21,1
PTPN22,2
PTPN4,1
PTPRA,1
PTPRB,1
PTPRD,3
PTPRG,1
PTPRJ,1
PTPRK,1
PTPRO,2
PTPRR,2
PTPRS,2
PTPRT,1
PTPRZ1,5
PTTG2,1
PUM1,1
PUM2,2
PURA,2
PUS3,1
PVRL3,1
PVRL4,1
PXDNL,1
PXMP2,1
PYGO1,3
PZP,3
QPRT,1
QSER1,1
R3HCC1L,2
R3HDM2,1
RAB11FIP1,1
RAB11FIP2,1
RAB27A,2
RAB32,1
RAB33A,1
RAB33B,1
RAB37,1
RAB3C,1
RAB3GAP1,2
RAB3IP,1
RAB5C,1
RAB6B,1
RAB6C,1
RABEP1,1
RABEP2,0
RABGAP1,2
RABGAP1L,1
RACGAP1,2
RAD23B,1
RAD50,1
RAD51AP1,1
RAD51AP2,1
RAD54B,1
RAD54L2,1
RAF1,1
RAI1,2
RAI14,2
RALBP1,1
RALGAPA1,1
RALGAPA2,1
RALGAPB,2
RALGPS2,1
RANBP10,1
RANBP2,3
RANBP3L,1
RAP1A,1
RAP1GAP,1
RAP1GDS1,1
RAPGEF1,2
RAPGEF3,1
RAPGEF6,5
RAPGEFL1,1
RAPH1,1
RARA,1
RARS,2
RARS2,1
RASA1,2
RASEF,1
RASGRF2,2
RASGRP1,1
RASSF1,1
RASSF8,1
RB1,2
RB1CC1,1
RBBP4,1
RBBP6,6
RBBP8,1
RBBP8NL,1
RBFA,2
RBFOX2,1
RBL1,1
RBL2,1
RBM10,1
RBM12,1
RBM12B,2
RBM15,1
RBM15B,1
RBM17,2
RBM22,1
RBM25,1
RBM28,1
RBM46,1
RBM4B,1
RBM5,2
RBM6,2
RBM7,1
RBMS1,1
RBMY1A1,1
RBP3,1
RBPJL,1
RBPMS,1
RBSN,1
RC3H2,1
RCAN1,1
RCC1,1
RCOR2,1
RCVRN,1
RDH14,1
RECK,2
REG3A,1
REL,1
RELN,3
RENBP,1
REP15,1
REPS2,1
RERE,1
RERGL,1
REST,2
RET,2
RETN,1
REV1,1
REV3L,3
REXO2,1
RFK,1
RFPL1,2
RFPL2,1
RFWD3,1
RFX3,1
RFX5,1
RFXAP,1
RGL2,1
RGN,1
RGP1,1
RGPD4,3
RGPD8,1
RGR,1
RGS12,1
RGS21,1
RGS22,2
RHBDF1,1
RHOQ,2
RHOT1,1
RHOT2,1
RIC1,2
RICTOR,2
RIF1,1
RIMBP2,1
RIMS1,2
RIMS2,3
RIMS3,1
RINT1,1
RIOK1,2
RIOK2,2
RIT2,1
RLF,2
RLIM,1
RLN1,1
RMDN2,1
RMI1,1
RNF10,1
RNF111,1
RNF113A,2
RNF128,2
RNF13,1
RNF139,1
RNF146,1
RNF148,1
RNF17,1
RNF170,1
RNF19B,2
RNF216,2
RNF34,1
RNF39,1
RNF7,1
RNMT,1
RNPEPL1,1
ROBO2,1
ROCK1,1
ROM1,1
ROPN1,1
ROPN1B,1
RORB,1
ROS1,3
RP1,5
RP11-240B13.2,1
RP11-407N17.3,4
RPAIN,1
RPE,1
RPGR,1
RPGRIP1,1
RPGRIP1L,1
RPL10A,1
RPL12,1
RPL13A,1
RPL18A,1
RPL22,1
RPL22L1,1
RPL36AL,1
RPL4,1
RPL9,1
RPRD1A,4
RPRD1B,1
RPS2,1
RPS4X,1
RPS6KA4,1
RPS6KB2,1
RPTN,1
RPTOR,1
RPUSD1,1
RRAGD,1
RRN3,1
RRP1,1
RRP12,1
RRP8,1
RRP9,1
RSBN1,1
RSBN1L,1
RSF1,2
RSPH3,1
RSPH4A,2
RSPH6A,2
RSRC2,1
RSU1,1
RTF1,2
RTKN,1
RTN3,1
RTN4,2
RTN4RL1,1
RTN4RL2,1
RTP1,1
RTTN,3
RUFY2,1
RUFY3,1
RUNDC1,1
RUNX1T1,1
RUNX2,1
RUSC1,1
RWDD1,3
RXFP1,1
RXFP2,1
RYK,2
RYR1,5
RYR2,3
RYR3,1
S100A7,1
S100PBP,1
S1PR1,1
S1PR5,1
SAAL1,1
SACM1L,1
SACS,4
SALL2,3
SAMD15,2
SAMD3,1
SAMD9,1
SAMD9L,2
SAMSN1,1
SAP130,1
SARAF,1
SARDH,1
SASH3,1
SAXO2,1
SBF1,2
SBF2,1
SBNO1,2
SCAF1,2
SCAF11,1
SCAF4,3
SCAF8,1
SCAI,1
SCAPER,1
SCARB2,1
SCEL,1
SCIN,1
SCML2,1
SCN10A,2
SCN11A,1
SCN1A,2
SCN2A,2
SCN3A,3
SCN5A,1
SCN7A,1
SCN8A,1
SCN9A,3
SCPEP1,1
SDAD1,1
SDC1,1
SDC2,1
SDC3,1
SDC4,1
SDCBP2,1
SDCCAG8,1
SDHAF2,1
SDK2,1
SDPR,1
SDS,1
SEC16A,3
SEC23A,1
SEC24B,1
SEC24D,1
SEC62,2
SECISBP2,1
SECISBP2L,1
SEL1L2,1
SEL1L3,1
SELENBP1,1
SEMA3A,1
SEMA3B,1
SEMA4B,1
SEMA6B,1
SEMA7A,1
SEMG1,1
SEMG2,4
SENP1,1
SENP2,2
SENP5,1
SENP6,2
SEPSECS,1
SEPT10,1
SEPT5,1
SEPT6,1
SEPT9,1
SERPINA1,1
SERPINB11,1
SERPINB3,1
SERPINB4,2
SERPINC1,1
SERPINE3,1
SERPING1,1
SERPINH1,1
SERTAD3,1
SESN3,1
SESTD1,1
SETBP1,2
SETD1A,1
SETD2,2
SETD5,3
SETDB1,1
SETX,1
SEZ6L,2
SF3A1,1
SF3B1,2
SGCB,1
SGCE,1
SGK223,1
SGTB,1
SH2D2A,1
SH2D3C,1
SH2D4A,1
SH2D6,1
SH3BP4,1
SH3D19,2
SH3GL2,1
SH3GL3,1
SH3GLB2,1
SH3KBP1,1
SH3PXD2A,2
SH3PXD2B,1
SH3RF1,1
SH3TC1,1
SHANK1,1
SHANK2,1
SHCBP1,1
SHPRH,1
SHROOM1,1
SHROOM2,2
SHROOM3,1
SI,3
SIAE,1
SIDT1,1
SIDT2,1
SIGLEC12,2
SIGLEC6,1
SIKE1,2
SIL1,1
SIM1,1
SIN3A,1
SIPA1L1,3
SIPA1L2,1
SIRPG,1
SIRT4,1
SIX5,1
SKA2,1
SKAP2,1
SKIDA1,1
SKOR1,1
SLA,1
SLAIN1,1
SLAIN2,1
SLAMF8,1
SLC10A5,1
SLC12A4,2
SLC12A5,1
SLC12A6,3
SLC13A1,2
SLC16A4,2
SLC17A2,1
SLC17A4,1
SLC17A6,1
SLC17A7,1
SLC19A2,1
SLC1A2,1
SLC1A6,2
SLC22A16,1
SLC22A3,1
SLC22A6,1
SLC23A2,1
SLC24A1,1
SLC24A5,1
SLC25A10,1
SLC25A12,1
SLC25A13,1
SLC25A15,1
SLC25A17,1
SLC25A33,1
SLC25A43,1
SLC25A45,2
SLC26A2,1
SLC26A6,1
SLC26A8,1
SLC26A9,1
SLC27A2,1
SLC27A3,1
SLC28A1,1
SLC28A2,1
SLC29A1,1
SLC2A14,1
SLC2A2,1
SLC2A9,1
SLC30A4,1
SLC31A2,1
SLC34A2,3
SLC35B1,2
SLC35D2,1
SLC35E3,1
SLC35F4,1
SLC38A4,2
SLC38A6,1
SLC38A7,1
SLC38A9,3
SLC39A12,2
SLC39A14,1
SLC39A2,2
SLC39A7,2
SLC3A1,1
SLC3A2,1
SLC40A1,1
SLC41A1,1
SLC41A3,1
SLC43A2,1
SLC44A2,1
SLC46A1,1
SLC46A3,1
SLC47A1,1
SLC4A10,1
SLC4A4,1
SLC4A8,1
SLC50A1,1
SLC52A3,1
SLC5A10,1
SLC5A2,2
SLC5A5,1
SLC5A8,1
SLC6A14,1
SLC6A16,1
SLC6A18,1
SLC6A2,1
SLC6A3,0
SLC6A8,2
SLC7A11,1
SLC7A13,1
SLC7A4,1
SLC8A1,1
SLC8A3,1
SLC9A1,1
SLC9A2,1
SLC9A6,1
SLC9A8,1
SLC9B2,1
SLC9C1,2
SLCO1B1,1
SLCO1B3,1
SLCO2A1,1
SLCO2B1,2
SLCO4C1,1
SLCO6A1,1
SLFN5,2
SLIT3,2
SLITRK1,1
SLITRK3,2
SLITRK6,1
SLMAP,1
SLTM,1
SLX4,1
SMAD2,1
SMAD9,1
SMARCA5,2
SMARCAD1,1
SMARCC2,2
SMARCD3,1
SMC1A,2
SMC1B,1
SMC2,2
SMC3,6
SMC4,1
SMC5,1
SMCHD1,3
SMCR8,1
SMEK2,1
SMG5,1
SMG7,2
SMPD4,1
SMPDL3B,1
SMUG1,1
SMURF1,2
SMURF2,1
SNAI2,2
SNAP47,1
SND1,1
SNRK,2
SNRNP200,1
SNRNP27,1
SNRNP35,1
SNRNP48,1
SNRNP70,1
SNX16,2
SNX19,1
SNX2,1
SNX20,1
SNX25,1
SNX27,1
SNX29,2
SNX7,1
SOAT1,2
SOBP,1
SOCS4,2
SOD1,1
SOD2,1
SOGA1,1
SOGA3,1
SORBS3,1
SORCS3,2
SORL1,2
SOS1,2
SOS2,1
SOSTDC1,1
SOWAHD,1
SOX12,1
SOX2,1
SOX30,1
SP1,1
SP140,1
SP140L,1
SP3,1
SP4,2
SPAG16,2
SPAG17,1
SPAG5,2
SPAG6,1
SPAG9,3
SPAM1,1
SPANXB1,1
SPATA13,1
SPATA17,1
SPATA2,1
SPATA22,1
SPATA25,1
SPATA31A1,1
SPATA31A6,3
SPATA31D1,1
SPATA32,1
SPATA7,1
SPATA8,1
SPATS1,1
SPDL1,2
SPDYA,1
SPECC1,3
SPECC1L,1
SPEN,4
SPG11,1
SPG21,1
SPIB,1
SPIN1,1
SPIN2B,2
SPINK5,1
SPINK9,1
SPNS1,1
SPOCD1,1
SPOCK3,1
SPON2,2
SPOP,1
SPPL3,2
SPR,0
SPRED2,1
SPTA1,8
SPTAN1,1
SPTB,1
SPTBN1,1
SPTBN2,2
SPTBN4,3
SPTBN5,1
SPTY2D1,1
SPZ1,2
SQLE,2
SRC,1
SRCAP,2
SREK1,1
SRGAP1,2
SRGAP3,1
SRP68,1
SRP72,1
SRPR,1
SRPX,1
SRPX2,1
SRR,1
SRRM1,1
SRRM2,2
SRRT,2
SRSF11,1
SRSF12,1
SSBP2,1
SSFA2,1
SSTR2,1
SSX1,1
ST18,2
ST5,1
ST6GALNAC2,1
ST6GALNAC4,1
ST6GALNAC6,1
ST7,1
ST8SIA3,1
ST8SIA6,1
STAB1,1
STAB2,3
STAC2,1
STAC3,1
STAG1,1
STAG2,1
STAG3,1
STAM2,1
STAR,1
STARD3,1
STARD8,1
STAT2,1
STAT4,1
STATH,1
STAU2,3
STC2,1
STEAP2,1
STEAP3,1
STIM1,1
STK25,1
STK26,1
STK31,1
STOML1,1
STOML2,1
STON1-GTF2A1L,1
STON2,1
STOX2,1
STRA6,1
STT3A,3
STT3B,1
STUB1,1
STX16,1
STX19,1
STX4,1
STX7,1
STXBP3,1
STXBP4,1
STXBP5L,2
SUCO,1
SUFU,1
SUGP1,1
SULF2,2
SULT2A1,1
SUOX,3
SUPT16H,1
SUPT20H,2
SUPT6H,1
SUSD2,1
SUV39H2,1
SUV420H1,1
SUV420H2,1
SUZ12,1
SV2C,1
SVEP1,2
SVIL,3
SVOPL,1
SWSAP1,1
SYCE1,1
SYCP2,1
SYCP2L,2
SYNCRIP,1
SYNE1,4
SYNE2,3
SYNE3,1
SYNGR4,1
SYNJ1,1
SYNPO2,2
SYT1,1
SYT12,1
SYT16,1
SYT17,1
SYTL2,1
SYTL3,2
SYTL4,1
SYTL5,1
SZT2,2
T,1
TAAR5,2
TAB3,2
TACC2,4
TACR3,2
TADA2A,1
TAF1,2
TAF1B,1
TAF1L,2
TAF2,2
TAF5,1
TAF5L,1
TALDO1,1
TAMM41,1
TANC1,1
TAOK1,1
TAOK3,2
TAP1,1
TAPBP,1
TARBP1,2
TARS,2
TAS1R2,1
TAS1R3,1
TAS2R1,1
TAS2R31,1
TAS2R42,1
TAS2R7,1
TATDN3,1
TAX1BP1,2
TBC1D1,1
TBC1D14,1
TBC1D16,1
TBC1D2,2
TBC1D22B,1
TBC1D2B,1
TBC1D31,2
TBC1D4,1
TBC1D7,2
TBC1D8B,2
TBC1D9,2
TBC1D9B,1
TBCCD1,2
TBCEL,1
TBCK,1
TBK1,2
TBL1Y,1
TBL2,2
TBL3,1
TBX15,1
TBX18,2
TBX19,1
TBX20,1
TBX22,1
TBX3,1
TBX5,1
TCAF1,1
TCAP,1
TCEAL2,1
TCEAL3,1
TCEAL5,1
TCEAL6,1
TCEB3,1
TCEB3B,1
TCERG1,1
TCF3,1
TCF7L1,3
TCF7L2,1
TCHP,1
TCN1,1
TCN2,2
TCP11L1,1
TCP11L2,1
TCTE1,1
TCTN2,2
TDO2,1
TDRD5,1
TDRD7,3
TEAD1,2
TEAD4,1
TECPR2,2
TECR,1
TECTA,1
TEFM,2
TEK,2
TENM1,4
TENM2,2
TENM4,3
TEP1,1
TERT,2
TES,1
TESK2,1
TESPA1,1
TET1,2
TEX101,1
TEX11,1
TEX14,3
TEX15,3
TF,1
TFAP2D,1
TFE3,2
TFPI2,1
TFR2,1
TG,19
TGFBR2,1
TGFBRAP1,1
TGM4,1
TGOLN2,1
THADA,1
THAP5,1
THAP7,1
THAP9,1
THBS1,1
THBS2,2
THBS3,1
THEG,1
THEMIS,1
THOC1,1
THOC2,3
THOC5,1
THPO,1
THSD1,1
THSD7B,2
THUMPD3,1
TIAM2,2
TICAM1,1
TIGD2,1
TIGD7,1
TIMELESS,2
TIMM44,1
TIMMDC1,1
TIPARP,1
TIPIN,1
TJP1,3
TJP3,1
TK1,2
TKTL2,1
TLDC1,1
TLE3,1
TLK1,1
TLL1,1
TLL2,1
TLN2,2
TLR1,1
TLR10,1
TLR2,2
TLR3,1
TLR4,1
TLR6,1
TLR7,2
TLR8,2
TM2D3,1
TM4SF18,1
TM7SF2,2
TM9SF4,2
TMBIM4,1
TMC1,2
TMC5,1
TMC8,1
TMCC1,2
TMEM100,1
TMEM109,1
TMEM131,2
TMEM132D,3
TMEM143,2
TMEM145,1
TMEM171,1
TMEM176B,1
TMEM181,1
TMEM189-UBE2V1,1
TMEM192,1
TMEM2,2
TMEM225,1
TMEM255B,1
TMEM257,1
TMEM26,2
TMEM261,1
TMEM35,1
TMEM38A,1
TMEM47,1
TMEM5,1
TMEM50B,1
TMEM53,1
TMEM54,1
TMEM60,1
TMEM62,1
TMEM63B,1
TMEM67,1
TMEM71,1
TMEM8C,1
TMLHE,1
TMOD1,1
TMPRSS11A,1
TMPRSS11B,1
TMPRSS11E,1
TMPRSS11F,1
TMPRSS15,3
TMSB15A,2
TMTC4,1
TMX1,2
TMX3,1
TNC,2
TNFRSF1A,1
TNFSF15,1
TNFSF4,1
TNIK,2
TNKS1BP1,1
TNNT3,1
TNPO2,1
TNR,4
TNRC18,1
TNRC6A,1
TNRC6B,2
TNS1,1
TNS2,1
TOM1L2,1
TOMM20L,1
TONSL,1
TOP2B,1
TOPBP1,2
TOR3A,2
TOX3,1
TP53,2
TP53BP1,2
TP73,2
TPBG,2
TPH2,1
TPM3,1
TPO,1
TPP1,1
TPTE2,1
TRAF1,1
TRAF4,1
TRAFD1,2
TRAK1,1
TRANK1,1
TRAPPC10,1
TRAPPC5,1
TRAPPC9,1
TRAV23DV6,1
TRAV36DV7,1
TRAV9-2,1
TRBV19,1
TRGV4,1
TRHDE,2
TRIB3,1
TRIM15,1
TRIM23,1
TRIM24,2
TRIM26,2
TRIM28,1
TRIM33,1
TRIM39,1
TRIM43,1
TRIM46,1
TRIM47,1
TRIM49C,1
TRIM51,1
TRIM58,1
TRIM6,1
TRIM6-TRIM34,1
TRIML1,1
TRIO,2
TRIOBP,1
TRIP11,2
TRIP12,1
TRMT10C,2
TRMT13,1
TRO,1
TROVE2,4
TRPA1,2
TRPC7,1
TRPM2,1
TRPM3,1
TRPM4,1
TRPM5,1
TRPM7,2
TRPS1,2
TRPV2,1
TRPV3,1
TRPV5,1
TRRAP,1
TSC22D2,1
TSFM,1
TSGA10,1
TSGA13,1
TSHR,1
TSHZ2,1
TSKS,1
TSPAN14,1
TSPAN6,1
TSPAN8,1
TSPY2,1
TSPYL1,1
TSPYL2,1
TTBK2,1
TTC12,1
TTC16,1
TTC21B,1
TTC27,1
TTC3,1
TTC30B,1
TTC36,1
TTC38,1
TTC39C,2
TTC8,1
TTC9B,1
TTF2,2
TTI1,1
TTK,2
TTLL3,1
TTLL4,2
TTLL5,2
TTLL7,2
TTN,25
TTPA,1
TUBA3C,1
TUBB2B,1
TUBB4A,1
TUBB4B,1
TUBE1,1
TUBG1,1
TUBGCP4,1
TUBGCP6,1
TULP1,1
TULP2,2
TULP4,1
TUT1,3
TWF1,1
TWIST1,1
TWISTNB,1
TXNDC16,1
TXNDC2,1
TXNL1,1
TYK2,1
TYMP,1
TYRO3,1
TYRP1,1
TYW1,1
TYW5,1
U2AF2,1
U2SURP,3
UBA6,1
UBA7,1
UBC,1
UBE2F,1
UBE2J1,1
UBE2O,1
UBE2Q2,1
UBE2R2,1
UBE3D,1
UBE4A,1
UBLCP1,1
UBN1,1
UBN2,1
UBP1,3
UBQLN1,1
UBQLN2,1
UBQLN3,2
UBR1,2
UBR2,1
UBR3,1
UBR4,2
UBR5,4
UBR7,1
UBXN2A,1
UBXN2B,2
UBXN4,1
UBXN6,1
UFL1,1
UGGT2,3
UGT1A3,1
UGT1A4,1
UGT2A1,1
UGT2B10,1
UGT2B15,1
UGT2B7,2
UHRF1BP1L,1
UHRF2,1
ULBP1,1
ULK2,1
ULK3,2
ULK4,1
UNC13A,1
UNC13B,1
UNC13C,1
UNC45B,1
UNC5A,1
UNC79,4
UNG,1
UPF2,1
UPF3B,2
UQCRC1,2
UQCRC2,1
URGCP,2
UROC1,1
USH1G,1
USH2A,4
USP1,1
USP2,1
USP24,2
USP25,1
USP26,1
USP28,1
USP33,3
USP37,1
USP40,1
USP44,1
USP47,3
USP48,1
USP49,1
USP5,1
USP51,1
USP54,3
USP6,2
USP8,1
USP9X,6
USP9Y,2
UTP11L,1
UTP14C,1
UTP20,3
UTP3,3
UTP6,1
UTRN,4
UVRAG,0
UVSSA,1
VAMP3,1
VANGL1,1
VAPA,2
VAV2,1
VBP1,1
VCAM1,2
VCAN,2
VCL,2
VCP,1
VDAC1,1
VDAC3,1
VEGFA,1
VEZT,1
VGLL3,1
VLDLR,1
VMO1,1
VMP1,1
VN1R1,1
VNN1,1
VNN2,1
VNN3,1
VPS13A,6
VPS13B,3
VPS13C,4
VPS13D,3
VPS16,1
VPS4B,1
VPS52,1
VSIG2,1
VTA1,1
VTI1A,1
VTN,1
VWA2,2
VWA8,2
VWA9,1
VWF,1
WARS,1
WASF2,1
WASL,1
WDFY3,3
WDHD1,1
WDPCP,1
WDR11,3
WDR17,2
WDR3,1
WDR33,3
WDR35,2
WDR36,1
WDR45,1
WDR45B,1
WDR47,2
WDR49,2
WDR54,1
WDR59,1
WDR5B,1
WDR6,3
WDR60,1
WDR62,1
WDR64,1
WDR66,1
WDR7,2
WDR72,1
WDR75,1
WDR89,1
WDR90,1
WDTC1,1
WFDC3,1
WFS1,1
WHSC1,1
WHSC1L1,3
WI2-3308P17.2,1
WIPF1,1
WIPF2,1
WLS,1
WNK1,1
WNK2,3
WNK4,1
WNT11,1
WNT16,1
WNT5B,1
WNT8B,1
WRN,2
WT1,1
XDH,1
XIRP2,4
XKR4,1
XPNPEP1,1
XPO4,1
XPO5,1
XPO6,1
XPO7,1
XPOT,1
XPR1,1
XRCC3,1
XRCC5,3
XRCC6BP1,2
XRN1,2
XXbac-BPG116M5.17,2
XYLB,1
XYLT2,1
YAE1D1,1
YBX2,1
YEATS2,1
YEATS4,0
YES1,2
YIF1A,1
YIF1B,1
YLPM1,3
YTHDC1,3
YTHDC2,2
YWHAE,1
YWHAH,1
YWHAZ,1
YY2,1
ZAN,1
ZBBX,1
ZBED9,2
ZBTB1,1
ZBTB10,1
ZBTB12,1
ZBTB18,1
ZBTB2,1
ZBTB22,2
ZBTB24,0
ZBTB32,1
ZBTB38,1
ZBTB39,1
ZBTB40,1
ZBTB43,1
ZBTB8OS,1
ZC3H11A,1
ZC3H12A,1
ZC3H12B,1
ZC3H12C,1
ZC3H13,3
ZC3H18,1
ZC3H4,2
ZC3H7A,2
ZC3HC1,1
ZCCHC10,1
ZCCHC11,1
ZCCHC14,1
ZCCHC2,1
ZCCHC6,1
ZCCHC9,1
ZCWPW1,1
ZDBF2,2
ZDHHC21,1
ZDHHC23,1
ZEB2,2
ZFAND1,1
ZFAND3,1
ZFAND5,1
ZFC3H1,2
ZFHX3,6
ZFHX4,1
ZFP2,2
ZFP36,2
ZFP36L2,2
ZFP41,1
ZFP90,1
ZFPM2,1
ZFR2,1
ZFX,1
ZFYVE1,1
ZFYVE16,2
ZFYVE26,1
ZFYVE28,1
ZG16B,1
ZGPAT,1
ZGRF1,1
ZIC2,1
ZIK1,1
ZKSCAN1,1
ZKSCAN3,2
ZMIZ1,2
ZMIZ2,2
ZMPSTE24,1
ZMYM4,2
ZMYND11,1
ZMYND12,1
ZNF10,2
ZNF101,1
ZNF106,2
ZNF107,1
ZNF117,1
ZNF132,1
ZNF141,1
ZNF142,1
ZNF143,1
ZNF148,2
ZNF169,1
ZNF181,1
ZNF184,1
ZNF185,1
ZNF2,1
ZNF207,1
ZNF211,2
ZNF223,1
ZNF225,1
ZNF23,1
ZNF234,2
ZNF236,1
ZNF239,1
ZNF250,1
ZNF253,1
ZNF254,2
ZNF257,3
ZNF26,1
ZNF260,1
ZNF263,1
ZNF267,1
ZNF275,1
ZNF28,1
ZNF280C,1
ZNF280D,2
ZNF283,2
ZNF284,2
ZNF286A,1
ZNF292,4
ZNF30,1
ZNF300,1
ZNF302,1
ZNF311,2
ZNF318,1
ZNF326,2
ZNF334,1
ZNF335,1
ZNF337,2
ZNF341,1
ZNF343,1
ZNF345,2
ZNF350,1
ZNF354B,1
ZNF354C,1
ZNF383,1
ZNF384,1
ZNF385B,1
ZNF385D,2
ZNF397,1
ZNF407,3
ZNF410,1
ZNF415,1
ZNF420,1
ZNF426,1
ZNF43,1
ZNF438,1
ZNF451,1
ZNF461,3
ZNF462,1
ZNF467,2
ZNF471,1
ZNF48,1
ZNF480,1
ZNF484,1
ZNF488,1
ZNF490,1
ZNF491,2
ZNF492,1
ZNF497,1
ZNF500,1
ZNF503,1
ZNF507,1
ZNF512,1
ZNF518A,1
ZNF521,2
ZNF525,1
ZNF527,1
ZNF528,2
ZNF534,1
ZNF540,2
ZNF543,1
ZNF544,2
ZNF559-ZNF177,1
ZNF560,2
ZNF563,1
ZNF564,1
ZNF565,1
ZNF567,1
ZNF568,1
ZNF573,1
ZNF583,3
ZNF592,2
ZNF596,1
ZNF598,1
ZNF605,1
ZNF607,1
ZNF611,1
ZNF613,1
ZNF621,1
ZNF623,0
ZNF624,2
ZNF639,1
ZNF644,2
ZNF646,1
ZNF655,1
ZNF658,2
ZNF66,1
ZNF660,1
ZNF668,1
ZNF677,1
ZNF678,1
ZNF679,1
ZNF683,2
ZNF687,1
ZNF688,1
ZNF692,1
ZNF7,1
ZNF705D,1
ZNF709,1
ZNF711,2
ZNF713,1
ZNF716,2
ZNF721,2
ZNF724P,3
ZNF735,1
ZNF74,1
ZNF749,1
ZNF75D,1
ZNF76,1
ZNF763,2
ZNF766,1
ZNF777,3
ZNF781,1
ZNF786,1
ZNF791,1
ZNF804A,3
ZNF804B,1
ZNF808,2
ZNF827,1
ZNF829,1
ZNF830,1
ZNF831,1
ZNF835,1
ZNF845,1
ZNF85,3
ZNF852,1
ZNF860,1
ZNF91,1
ZNFX1,1
ZNHIT2,1
ZNHIT6,1
ZNRF3,2
ZPBP,1
ZRANB2,1
ZRANB3,1
ZSCAN12,1
ZSCAN16,2
ZSCAN20,2
ZSCAN29,1
ZSCAN5A,1
ZSCAN5B,1
ZSWIM2,1
ZSWIM8,1
ZW10,2
ZWILCH,1
ZXDC,1
ZZEF1,1
ZZZ3,1
